Date,NVDA_Open,NVDA_Low,NVDA_Close,NVDA_AdjClose,MSFT_Open,MSFT_High,MSFT_Low,MSFT_AdjClose,GOOGL_Open,GOOGL_Low,GOOGL_Close,GOOGL_AdjClose,Gold_open,Gold_high,Gold_low,SP500_open,SP500_high,NASDAQ_open,NASDAQ_high,NASDAQ_low,NASDAQ_close,FTSE100_Price,FTSE100_High,STOXX_High,STOXX_Low,STOXX_Close,STOXX_AdjClose,NSEI_Open,NSEI_Close,NSEI_AdjClose,N225_Open,N225_High,N225_Low,N225_Close,N225_AdjClose,HSI_Open,HSI_Low,HSI_Close,HSI_AdjClose,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_AdjClose,USD_GBP_Open,USD_GBP_Low,USD_EUR_Low,USD_EUR_Close,USD_EUR_AdjClose
2013-01-16,0.299,0.299,0.30225,0.27902,27.15,27.23,27.01,22.019958,18.078077,17.85961,17.897648,17.877131,1674.40002441406,1682.69995117188,1674.40002441406,1472.33,1473.96,2725.6299,2742.3301,2721.6201,2734.73,6103.98,6117.33,2704.800049,2685.27002,2702.540039,2703.0,6049.0,6001.850098,6002,10806.410156,10806.410156,10591.299805,10600.44043,10600.0,23390.189453,23203.240234,23356.990234,23357,17.665714,18.194286,17.589287,18.074642,15,0.6221,0.6218,0.750356,0.7514,0.7514
2013-01-17,0.30325,0.3025,0.30625,0.282713,27.190001,27.469999,27.059999,22.190975,17.960711,17.793293,17.8008,17.780394,1676.40002441406,1694.59997558594,1671.0,1472.63,1485.16,2746.1899,2756.6799,2740.0701,2747.1499,6132.36,6135.89,2727.040039,2697.060059,2718.929932,2719.0,6001.25,6039.200195,6039,10660.94043,10694.849609,10432.969727,10609.639648,10610.0,23471.669922,23222.960938,23339.759766,23340,18.225357,18.241072,17.929644,17.952856,15,0.6249,0.6234,0.7476,0.7524,0.7524
2013-01-18,0.30625,0.3005,0.30425,0.280867,27.1,27.290001,27.040001,22.190975,17.776777,17.5508,17.630381,17.61017,1687.40002441406,1692.0,1686.59997558594,1480.95,1485.98,2735.8999,2743.54,2728.0701,2743.24,6154.41,6172.49,2731.040039,2707.350098,2709.590088,2710.0,6059.850098,6064.399902,6064,10791.969727,10913.299805,10787.120117,10913.299805,10913.0,23509.490234,23450.769531,23601.779297,23602,17.804285,17.936428,17.728571,17.857143,15,0.6259,0.6251,0.7464,0.7478,0.7478
2013-01-22,0.304,0.30125,0.30275,0.279482,27.299999,27.450001,27.0,22.109541,17.634134,17.405405,17.589338,17.569174,1690.30004882812,1694.69995117188,1687.80004882812,1485.98,1492.5601,2744.27,2747.52,2726.8601,2746.1899,6179.17,6188.58,2727.419922,2697.320068,2716.699951,2717.0,6080.149902,6048.5,6049,10765.099609,10859.419922,10615.200195,10709.929688,10710.0,23596.380859,23498.960938,23658.990234,23659,18.02,18.138571,17.736786,18.0275,15,0.6314,0.62961,0.747775,0.75123,0.75123
2013-01-23,0.30375,0.3,0.30325,0.279943,27.200001,27.639999,27.200001,22.484133,18.418167,18.413162,18.556055,18.534782,1691.30004882812,1693.69995117188,1685.19995117188,1492.5601,1496.13,2761.98,2769.3101,2756.5901,2762.1699,6197.64,6200.49,2724.350098,2703.48999,2708.280029,2708.0,6052.850098,6054.299805,6054,10575.599609,10663.089844,10486.990234,10486.990234,10487.0,23700.449219,23540.419922,23635.099609,23635,18.171785,18.3925,18.0275,18.3575,16,0.6314,0.62931,0.748615,0.75109,0.75109
2013-01-24,0.30225,0.30075,0.30475,0.281328,27.700001,28.07,27.469999,22.500427,18.549549,18.531281,18.874125,18.852488,1680.80004882812,1681.69995117188,1668.0,1494.8101,1502.27,2724.2,2748.3601,2719.8301,2723.53,6264.91,6271.4,2724.669922,2692.149902,2722.959961,2723.0,6046.200195,6019.350098,6019,10441.110352,10634.740234,10441.110352,10620.870117,10621.0,23585.099609,23547.789063,23598.900391,23599,16.428572,16.633215,16.080357,16.089287,14,0.6316,0.6309,0.7475,0.7514,0.7514
2013-01-25,0.30525,0.30375,0.31025,0.286406,27.58,28.23,27.389999,22.704004,18.788038,18.775024,18.860611,18.838989,1663.0,1663.0,1656.40002441406,1494.8199,1503.26,2731.3301,2745.0901,2726.73,2736.73,6284.45,6284.45,2748.129883,2716.090088,2744.179932,2744.0,6024.5,6074.649902,6075,10797.299805,10926.650391,10790.950195,10926.650391,10927.0,23653.539063,23481.369141,23580.429688,23580,16.131786,16.293928,15.535714,15.71,13,0.6336,0.63178,0.741889,0.74798,0.74798
2013-01-28,0.31175,0.311,0.31525,0.291021,28.01,28.23,27.76,22.728443,18.812813,18.715965,18.787037,18.765499,1651.59997558594,1655.5,1651.59997558594,1502.96,1503.23,2737.6201,2752.54,2735.21,2742.4299,6294.41,6311.26,2753.929932,2741.73999,2744.5,2745.0,6082.100098,6074.799805,6075,11002.860352,11002.860352,10824.30957,10824.30957,10824.0,23621.949219,23621.949219,23671.880859,23672,15.636786,16.186071,15.566429,16.065357,14,0.6339,0.63376,0.742087,0.74261,0.74261
2013-01-29,0.314,0.30725,0.3085,0.28479,27.82,28.129999,27.6,22.809877,18.687437,18.682182,18.860861,18.839239,1661.19995117188,1661.5,1660.69995117188,1500.1801,1509.35,2739.3899,2749.4399,2722.52,2743.5801,6339.19,6346.37,2750.889893,2731.02002,2749.27002,2749.0,6064.700195,6049.899902,6050,10751.009766,10937.629883,10751.009766,10866.719727,10867.0,23659.109375,23602.849609,23655.169922,23655,16.375,16.435715,16.147142,16.366785,14,0.637,0.634,0.74119,0.7437,0.7437
2013-01-30,0.30875,0.307,0.308,0.284328,28.01,28.190001,27.76,22.679586,18.862362,18.841593,18.864614,18.842989,1662.40002441406,1683.0,1661.80004882812,1507.84,1509.9399,2748.6299,2757.0901,2732.05,2738.71,6323.11,6354.46,2754.800049,2724.850098,2732.120117,2732.0,6065.0,6055.75,6056,10913.969727,11113.950195,10905.639648,11113.950195,11114.0,23767.330078,23765.570313,23822.060547,23822,16.321428,16.521429,16.232143,16.315357,14,0.635,0.6329,0.73654,0.7412,0.7412
